Number_of_Referrals,Tenure_in_Months,Avg_Monthly_Long_Distance_Charges,Avg_Monthly_GB_Download,Monthly_Charge,Total_Regular_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Age,Number_of_Dependents,Zip_Code,Population,CLTV,Total_Customer_Svc_Requests,Product/Service_Issues_Reported,Customer_Satisfaction,Referred_a_Friend_Yes,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Phone_Service_Yes,Multiple_Lines_Yes,Internet_Service_Yes,Internet_Type_DSL,Internet_Type_Fiber Optic,Internet_Type_None,Online_Security_Yes,Online_Backup_Yes,Device_Protection_Plan_Yes,Premium_Tech_Support_Yes,Streaming_TV_Yes,Streaming_Movies_Yes,Streaming_Music_Yes,Unlimited_Data_Yes,Contract_One Year,Contract_Two Year,Paperless_Billing_Yes,Payment_Method_Credit Card,Payment_Method_Mailed Check,Gender_Male,Under_30_Yes,Senior_Citizen_Yes,Married_Yes,Dependents_Yes,Churn_Category_Competitor,Churn_Category_Dissatisfaction,Churn_Category_Other,Churn_Category_Price
0,3,15.6,9,92.0,266.8,0.0,24.0,46.8,58,0,91731,30211,4345,1,0,3.0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
7,63,6.33,30,75.55,4707.85,0.0,1412.0,398.79,58,0,90048,21739,4626,2,0,2.993293091884641,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
3,1,0.0,23,24.388,23.45,0.0,0.0,0.0,55,0,95121,37127,4517,3,0,2.993293091884641,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
10,12,40.34,0,20.05,264.55,0.0,0.0,484.08,60,0,91910,74025,5453,0,0,2.993293091884641,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
0,1,5.02,0,19.1,19.1,0.0,0.0,5.02,28,0,95826,38818,3313,0,0,2.993293091884641,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1,27,35.52,0,24.5,761.95,0.0,0.0,959.04,51,1,92240,22796,2645,3,1,3.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
0,3,48.84,45,45.032,123.65,0.0,56.0,146.52,23,0,91355,24977,4849,6,2,2.993293091884641,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
0,64,8.52,73,86.4,5442.05,0.0,0.0,545.28,21,0,95682,24738,6474,1,2,2.993293091884641,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0
7,66,7.86,26,107.35,7051.95,39.18,0.0,518.76,71,0,90013,9732,4138,1,0,4.0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0
0,1,42.42,0,19.65,19.65,0.0,0.0,42.42,28,0,91016,41067,5454,0,0,2.993293091884641,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
10,56,10.13,13,103.2,5744.35,0.0,74.68,567.2800000000001,60,0,95421,1575,4534,1,0,2.993293091884641,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
8,72,0.0,12,64.7,4746.05,0.0,0.0,0.0,33,0,96024,960,6075,0,0,2.993293091884641,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
0,28,28.42,48,54.3,1546.3,0.0,742.0,795.76,19,0,92567,7344,5271,2,0,2.993293091884641,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
0,4,39.9,22,47.112,196.95,0.0,43.0,159.6,36,0,91105,10253,3443,3,0,2.993293091884641,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
1,51,0.0,21,29.45,1459.35,0.0,306.0,0.0,71,0,95947,2064,6285,0,0,2.993293091884641,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0
0,57,12.19,16,99.65,5497.05,0.0,0.0,694.8299999999999,32,0,92266,291,5106,2,1,2.993293091884641,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,31,20.76,57,89.3,2823.0,0.0,0.0,643.5600000000001,37,3,94041,13483,2132,0,0,2.993293091884641,1,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
0,33,47.64,18,88.95,3027.65,0.0,545.0,1572.12,59,0,90650,103214,5087,0,0,2.993293091884641,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
0,72,45.75,0,19.3,1414.8,0.0,0.0,3294.0,57,0,94920,13065,4722,1,0,4.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,15,9.74,0,20.1,302.45,0.0,0.0,146.1,58,0,92866,15396,4359,1,1,2.993293091884641,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,72,15.58,20,89.75,6595.9,0.0,1319.0,1121.76,41,1,95323,1055,5096,1,0,3.0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
0,1,1.23,76,83.408,80.2,0.0,0.0,1.23,25,0,94533,77683,3056,4,0,2.993293091884641,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
0,61,45.69,48,104.0,6363.45,0.0,305.45,2787.09,24,0,91352,46639,4344,1,0,2.993293091884641,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
1,11,0.0,17,29.6,346.45,27.24,0.0,0.0,32,2,92305,301,2793,0,0,2.993293091884641,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0
10,69,0.0,69,46.25,3121.4,0.0,215.38,0.0,29,2,95953,8695,4180,0,0,2.993293091884641,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0
2,71,28.58,30,90.55,6404.0,0.0,1921.0,2029.18,30,0,92223,17721,5007,1,0,4.0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,31,19.38,76,101.4,3143.65,0.0,2389.0,600.78,20,0,95957,776,2025,2,0,4.0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
0,3,25.4,10,70.25,229.7,0.0,23.0,76.19999999999999,33,0,93635,29124,2156,1,2,4.0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,57,16.78,29,107.95,5969.85,0.0,0.0,956.46,31,0,95361,25384,4687,1,0,3.0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1,61,32.96,41,81.0,4976.15,0.0,2040.0,2010.56,27,3,95117,29914,4151,0,0,2.993293091884641,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0
1,34,41.32,78,65.156,2274.9,0.0,1774.0,1404.88,19,0,90026,73686,3918,3,1,2.993293091884641,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
8,72,12.87,0,19.4,1496.45,0.0,0.0,926.64,28,0,95555,494,5398,0,0,2.993293091884641,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
10,49,2.82,0,20.15,973.35,0.0,0.0,138.17999999999998,31,0,90265,19630,5422,0,0,2.993293091884641,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
0,2,5.32,22,83.824,155.8,0.0,34.0,10.64,54,0,92122,34902,2683,3,1,1.0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,1,27.12,25,73.42399999999999,70.6,0.0,0.0,27.12,48,0,92126,74232,4063,3,0,2.993293091884641,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
7,72,6.05,30,89.05,6254.45,0.0,0.0,435.6,39,0,91020,7527,6212,0,0,2.993293091884641,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
9,55,6.63,23,58.6,3068.6,0.0,0.0,364.65,38,0,96119,85,6231,0,0,2.993293091884641,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1,42,0.0,7,40.15,1626.05,0.0,0.0,0.0,37,0,95303,809,4348,2,0,2.993293091884641,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
5,48,8.94,27,79.65,3870.3,0.0,0.0,429.12,44,1,90004,67852,3246,0,0,2.993293091884641,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
0,8,37.37,16,65.45,554.45,0.0,0.0,298.96,36,0,92124,30206,5227,3,0,5.0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,8,37.79,28,51.844,365.55,13.01,0.0,302.32,48,0,95988,8812,2269,4,0,2.993293091884641,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,18,7.51,24,73.55,1359.45,0.0,326.0,135.18,71,0,92536,2433,5313,0,0,2.993293091884641,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
0,18,7.42,12,95.05,1679.4,38.65,202.0,133.56,51,0,92270,12465,4524,0,0,2.993293091884641,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,11,0.0,17,36.05,402.6,0.0,68.0,0.0,54,1,90248,9960,4265,1,0,2.993293091884641,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
0,11,2.63,13,111.4,1183.05,0.0,154.0,28.93,75,0,96037,295,3175,2,2,2.993293091884641,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
8,2,15.5,12,45.0,89.75,0.0,0.0,31.0,38,0,93667,2633,5225,1,0,4.0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
5,64,14.87,16,80.3,5017.7,0.0,803.0,951.68,77,0,95960,565,4270,0,0,2.993293091884641,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0
1,11,1.28,15,103.532,1131.2,0.0,170.0,14.08,78,0,95355,47613,3172,2,0,2.993293091884641,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
1,37,25.35,0,19.6,727.8,0.0,0.0,937.95,77,0,95020,49968,5730,1,0,2.993293091884641,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0
5,7,0.0,58,38.55,280.0,0.0,162.0,0.0,26,0,90803,31352,3345,2,1,2.993293091884641,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0
2,51,39.32,76,111.55,5720.35,0.0,4347.0,2005.32,23,0,96094,5896,4053,2,0,2.993293091884641,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0
0,1,44.56,30,78.936,75.9,0.0,0.0,44.56,23,0,92592,46171,3389,0,0,2.993293091884641,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
5,22,15.27,0,25.6,548.8,0.0,0.0,335.94,69,0,90026,73686,2628,0,0,2.993293091884641,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
0,23,46.17,0,20.45,481.1,0.0,0.0,1061.91,56,0,95816,16164,3434,0,0,2.993293091884641,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
0,5,21.01,0,19.25,86.05,0.0,0.0,105.05,32,0,91207,9864,3056,2,0,3.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
1,1,0.0,13,41.80800000000001,40.2,0.0,0.0,0.0,77,0,91732,62660,5828,2,0,2.993293091884641,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0
7,51,2.21,10,93.65,4839.15,0.0,484.0,112.71,76,0,90804,43467,4163,2,0,2.993293091884641,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0
8,7,41.22,73,69.2,477.55,0.0,0.0,288.54,19,0,92694,350,2551,2,0,2.993293091884641,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
10,72,44.27,8,103.95,7556.9,0.0,0.0,3187.44,33,0,95039,899,5096,0,0,2.993293091884641,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
3,54,28.17,76,69.95,3871.85,0.0,2943.0,1521.18,21,0,92405,24644,5077,1,0,2.993293091884641,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
3,72,32.23,19,109.5,7854.9,0.0,149.24,2320.56,38,1,95232,21,6419,0,0,2.993293091884641,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0
0,9,38.76,90,102.232,923.5,0.0,831.0,348.84,27,0,94080,60599,2954,1,0,2.993293091884641,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
6,52,49.51,0,25.75,1345.85,0.0,0.0,2574.52,61,2,92649,32304,4676,1,0,2.993293091884641,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0
0,21,0.0,11,53.15,1183.2,19.13,0.0,0.0,59,1,91105,10253,3461,3,0,2.993293091884641,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
6,21,31.55,23,75.9,1549.75,0.0,35.64,662.5500000000001,42,3,95206,49657,3503,2,0,2.993293091884641,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0
10,26,45.28,0,20.05,505.9,0.0,0.0,1177.28,49,0,94950,248,2403,0,0,2.993293091884641,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
6,60,15.24,16,59.8,3561.15,0.0,0.0,914.4,39,0,93932,538,5488,1,0,3.0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0
1,48,30.41,53,105.25,4997.5,1.66,0.0,1459.68,57,3,95121,37127,4275,2,0,3.0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0
0,26,12.09,15,66.05,1652.4,47.73,248.0,314.34,79,0,90703,51556,3225,1,0,2.993293091884641,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
0,1,42.55,25,49.85,49.85,0.0,0.0,42.55,44,3,93030,79736,5323,0,0,2.993293091884641,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
1,41,32.29,69,78.45,3126.45,0.0,0.0,1323.89,20,2,95045,3402,5468,1,0,3.0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0
7,64,23.25,0,19.8,1336.65,0.0,0.0,1488.0,47,0,92868,23172,5384,0,0,2.993293091884641,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,49,18.97,3,104.624,5069.65,0.0,152.0,929.53,42,0,96039,1294,5585,3,2,2.993293091884641,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
5,69,20.98,0,25.6,1673.4,28.09,0.0,1447.62,55,1,90813,63136,6053,0,0,2.993293091884641,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
2,44,36.86,0,20.0,860.85,0.0,0.0,1621.84,23,3,95559,163,3743,0,0,2.993293091884641,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0
0,42,27.64,0,25.05,949.85,0.0,0.0,1160.88,20,0,91106,23742,3756,0,0,2.993293091884641,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
0,13,35.96,46,87.984,1115.2,0.0,513.0,467.48,27,0,96015,417,2659,3,0,2.993293091884641,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1,18,43.29,41,74.8,1438.05,0.0,590.0,779.22,25,0,93665,343,4809,2,0,2.993293091884641,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,7,27.46,4,69.85,515.45,0.0,21.0,192.22,61,0,92276,6242,5501,1,0,2.993293091884641,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,39,49.95,0,25.0,1004.35,0.0,0.0,1948.05,52,3,92067,7615,4295,0,0,2.993293091884641,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
10,4,14.34,14,83.25,308.05,39.93,43.0,57.36,73,0,94306,24492,5251,3,1,2.993293091884641,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
0,8,3.27,7,104.884,819.55,0.0,57.0,26.16,56,0,95993,27786,3849,1,1,2.0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,58,22.71,14,79.8,4526.85,0.0,0.0,1317.18,47,0,95817,14966,5709,1,0,2.993293091884641,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,16,12.82,0,19.35,275.9,33.24,0.0,205.12,40,3,95901,38091,4146,1,0,5.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
0,5,43.51,19,88.816,425.9,0.0,81.0,217.55,62,0,95665,4354,3716,6,0,2.993293091884641,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
0,35,6.52,0,23.3,797.1,0.0,0.0,228.2,38,0,95672,3815,2416,1,0,2.993293091884641,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,40,0.0,57,40.25,1564.05,0.0,89.15,0.0,62,3,95456,882,4288,0,0,2.993293091884641,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0
0,49,44.88,16,94.484,4515.85,0.0,723.0,2199.1200000000003,76,0,95006,10520,5651,5,0,2.0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
0,1,4.04,7,82.732,79.55,0.0,0.0,4.04,59,0,95637,228,5593,4,0,2.993293091884641,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
0,1,38.05,14,50.7,50.7,0.0,0.0,38.05,56,0,94583,44078,3007,1,0,3.0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
3,69,0.0,11,39.1,2779.5,0.0,0.0,0.0,52,1,93605,273,5987,2,1,2.993293091884641,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0
7,72,18.66,3,109.7,8129.3,0.0,0.0,1343.52,42,0,91307,23637,5945,2,0,2.993293091884641,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
0,2,14.88,12,60.95,134.6,0.0,0.0,29.76,54,2,92130,28201,3172,3,0,2.993293091884641,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,2,40.28,0,20.05,42.7,0.0,0.0,80.56,19,0,92707,62634,4394,1,0,5.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
6,72,12.32,59,68.75,4888.2,0.0,2884.0,887.04,29,0,95655,929,4505,0,0,2.993293091884641,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
7,7,33.24,53,50.3,355.1,0.0,18.82,232.68,19,0,90242,42459,2547,0,0,2.993293091884641,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
0,1,26.53,33,46.176,44.4,0.0,0.0,26.53,58,0,95030,13290,3204,2,0,2.993293091884641,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,17,1.64,0,19.35,307.0,10.57,0.0,27.88,33,0,95969,28318,2185,2,0,2.993293091884641,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
1,18,2.86,24,59.748000000000005,990.85,15.73,0.0,51.48,53,0,94606,41876,2989,4,1,1.0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
0,17,9.84,0,24.8,475.25,37.06,0.0,167.28,64,0,93223,8644,5208,0,0,2.993293091884641,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,20,42.06,23,96.8,1826.7,0.0,420.0,841.2,32,3,90265,19630,3222,0,0,2.993293091884641,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0
0,16,38.02,25,75.1,1212.85,0.0,30.32,608.32,44,0,94134,40137,5176,1,0,2.993293091884641,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,41,31.08,12,74.65,3090.65,0.0,0.0,1274.28,47,0,90265,19630,3859,0,0,2.993293091884641,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,17.61,0,19.95,19.95,0.0,0.0,17.61,62,0,93266,1729,2051,2,2,2.993293091884641,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,49,33.65,0,25.25,1211.65,0.0,0.0,1648.85,23,2,93243,1247,5616,0,0,2.993293091884641,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0
0,29,21.19,0,20.35,617.35,0.0,0.0,614.51,28,0,94702,15638,4840,0,0,2.993293091884641,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
4,1,6.86,0,20.0,20.0,0.0,0.0,6.86,21,3,93623,77,2358,2,1,2.993293091884641,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
1,14,9.13,13,95.316,1301.0,0.0,169.0,127.82,61,1,91733,45645,4304,2,1,3.0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
0,6,6.93,0,20.15,130.5,0.0,0.0,41.58,56,0,95427,371,5761,2,0,5.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
